Date : 2024-04-19 18:22:59
Directory : d:\DevelopTools\Code\VSCode\Project\zhihu
Total : 101 files,  5848 codes, 229 comments, 644 blanks, all 6721 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         35 |      1,744 |         43 |        234 |      2,021 |
| CSS             |         22 |      1,544 |          0 |        199 |      1,743 |
| Sass            |         11 |      1,362 |         35 |         16 |      1,413 |
| HTML            |         12 |        474 |         23 |         58 |        555 |
| JavaScript      |          6 |        238 |         20 |         17 |        275 |
| Batch           |          2 |        236 |        102 |         74 |        412 |
| XML             |          2 |        126 |          6 |         12 |        144 |
| Markdown        |          6 |        113 |          0 |         28 |        141 |
| Java Properties |          4 |         10 |          0 |          6 |         16 |
| JSON            |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        101 |      5,848 |        229 |        644 |      6,721 |
| . (Files)                                                                                                         |          2 |        181 |         54 |         43 |        278 |
| .mvn                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| .mvn\wrapper                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| bin                                                                                                               |         49 |      2,446 |        102 |        200 |      2,748 |
| bin (Files)                                                                                                       |          2 |        181 |         54 |         43 |        278 |
| bin\.VSCodeCounter                                                                                                |          5 |        114 |          0 |         26 |        140 |
| bin\.VSCodeCounter\2024-03-25_16-29-36                                                                            |          5 |        114 |          0 |         26 |        140 |
| bin\.mvn                                                                                                          |          1 |          2 |          0 |          1 |          3 |
| bin\.mvn\wrapper                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| bin\src                                                                                                           |         41 |      2,149 |         48 |        130 |      2,327 |
| bin\src (Files)                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| bin\src\main                                                                                                      |         39 |      2,132 |         48 |        128 |      2,308 |
| bin\src\main\java                                                                                                 |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com                                                                                             |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu                                                                                       |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu\zhihu                                                                                 |         15 |        765 |          0 |         15 |        780 |
| bin\src\main\java\com\baidu\zhihu (Files)                                                                         |          1 |         21 |          0 |          1 |         22 |
| bin\src\main\java\com\baidu\zhihu\control                                                                         |          2 |        146 |          0 |          2 |        148 |
| bin\src\main\java\com\baidu\zhihu\model                                                                           |          6 |        259 |          0 |          6 |        265 |
| bin\src\main\java\com\baidu\zhihu\model (Files)                                                                   |          5 |        195 |          0 |          5 |        200 |
| bin\src\main\java\com\baidu\zhihu\model\abstractClass                                                             |          1 |         64 |          0 |          1 |         65 |
| bin\src\main\java\com\baidu\zhihu\service                                                                         |          6 |        339 |          0 |          6 |        345 |
| bin\src\main\java\com\baidu\zhihu\service (Files)                                                                 |          3 |         49 |          0 |          3 |         52 |
| bin\src\main\java\com\baidu\zhihu\service\impl                                                                    |          3 |        290 |          0 |          3 |        293 |
| bin\src\main\resources                                                                                            |         24 |      1,367 |         48 |        113 |      1,528 |
| bin\src\main\resources (Files)                                                                                    |          1 |          3 |          0 |          2 |          5 |
| bin\src\main\resources\static                                                                                     |         18 |      1,195 |         41 |         89 |      1,325 |
| bin\src\main\resources\static\css                                                                                 |         15 |      1,111 |         35 |         82 |      1,228 |
| bin\src\main\resources\static\js                                                                                  |          3 |         84 |          6 |          7 |         97 |
| bin\src\main\resources\templates                                                                                  |          5 |        169 |          7 |         22 |        198 |
| bin\src\main\resources\templates (Files)                                                                          |          1 |         32 |          6 |         10 |         48 |
